org_limpo;id_org_unica;tipo_org;tipo_org_reduzido
ABBI - Associação Brasileira de Biotecnologia Industrial;709;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ABRASEM - Associação Brasileira de Sementes e Mudas;710;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
AGROBIO - Associação das Empresas de Biotecnologia na Agricultura e Agroindústria;711;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Amyris Brasil S.A.;712;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Associação Nacional da Agricultura Camponesa;713;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Articulação Pacari - Plantas Medicinais do Cerrado;714;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Associação de Defesa Etnoambiental Kanindé;715;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Beraca Sabará Químicos e Ingredientes S.A.;716;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
CDN Comunicação Corporativa;717;Jornalistas, assessores de imprensa, jornais ou revistas;Outro
CEMEM - Cooperativa Ecológica das Mulheres Extrativistas do Marajó;718;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
CIB - Conselho de Informações sobre Biotecnologia;719;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
CNPCT - Conselho Nacional dos Povos e Comunidades Tradicionais;720;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CONAMI - Conselho Nacional da Mulher Indígena;721;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
CTNBio - Comissão Técnica Nacional de Biossegurança;722;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Divers for Sharks;723;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Fibria;724;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
FleishmanHillard Public Relations;725;Jornalistas, assessores de imprensa, jornais ou revistas;Outro
Fundação Roberto Marinho;726;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
GIZ - Deutsche Gesellschaft für Internationale Zusammenarbeit;727;Organismos internacionais;Outro
Greenpeace;728;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Grupo Centroflora;729;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
GSS Sustentabilidade e Bioinovação;730;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Instituto Augusto Carneiro;731;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;732;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Instituto LIFE;733;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Instituto Ribeirão Preto 2030;734;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
ITTO - International Tropical Timber Organization;735;Organismos internacionais;Outro
L'Oréal;736;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
MEBB - Movimento Empresarial pela Biodiversidade - Brasil;737;Câmaras de Comércio e associações empresariais voltadas para temas específicos (não setoriais ou sindicais);Setor empresarial
Município de São José do Rio Preto;738;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Comunidades de Fundo de Pasto;739;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Comunidades Extrativistas da Amazônia;740;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Fórum de Povos e Comunidades Tradicionais;741;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Instituto de Estudos do Mar Almirante Paulo Moreira;742;Forças Armadas;Governo federal não-MRE
Ponto focal brasileiro para CDB;743;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Povos indígenas e comunidades locais;744;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Novozymes Latin America;745;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
SciencesPo;746;Universidades, institutos de educação, escolas e sociedades científicas;Órgãos de ensino e pesquisa
Universidade Federal de Ouro Preto;747;Universidades, institutos de educação, escolas e sociedades científicas;Órgãos de ensino e pesquisa
VBIO - Plataforma Brasileira de Biodiversidade;748;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
WCS - Wildlife Conservation Society;749;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
