org_sujo;org_detalhe_sujo;org_detalhe_limpo;org_limpo;id_org_unica;id_org_dupla
ICMBio;Diretoria de Pesquisa, Avaliação e Monitoramento de Biodiversidade;NA;ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade;333;3076
ICMBio;Diretoria de Ações Socioambientais e Consolidação Territorial em Unidades de Conservação;NA;ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade;333;3077
ICMBio;Diretoria de Criação e Manejo de Unidades de Conservação;NA;ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade;333;3078
ICMBio;Diretoria de Planejamento, Administração e Logística;NA;ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade;333;3079
ICMBio;Coordenação Geral de Uso Público e Negócios;NA;ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade;333;3081
ICONE - Instituto de Estudo do Comércio e Negociações Internacionais;NA;NA;ICONE - Instituto de Estudos do Comércio e Negociações Internacionais;334;3022
Indústria Brasileira de Árvores;NA;NA;Indústria Brasileira de Árvores;345;2422
Indústria Brasileira de Árvores;Florestas;NA;Indústria Brasileira de Árvores;345;3146
Instituto Nacional da Propriedade Industrial;NA;NA;INPI - Instituto Nacional da Propriedade Industrial;354;2980
Instituto Ecologica;NA;NA;Instituto Ecológica;368;1500
IPEA;NA;NA;IPEA - Instituto de Pesquisa Econômica Aplicada;394;3013
Instituto Pró-Sustentabilidade;NA;NA;IPSUS - Instituto Pró-Sustentabilidade;396;3037
Itaipu Binacional;"Superintendência de Meio Ambiente; Diretoria de Coordenação e Meio Ambiente";NA;Itaipu Binacional;400;3080
Marinha do Brasil;NA;NA;Marinha do Brasil;416;3058
Marinha do Brasil;"Comissão Interministerial para os Recursos do Mar (CIRM); Divisão de recursos humanos";NA;Marinha do Brasil;416;3084
Marinha do Brasil;Divisão para questões marítimas e ambientais;NA;Marinha do Brasil;416;3133
Marinha do Brasil;Diretoria de Hidrografia e Navegação;NA;Marinha do Brasil;416;3193
Marinha do Brasil;"Diretoria de Hidrografia e Navegação; GOOS Brazil";NA;Marinha do Brasil;416;3195
Marinha do Brasil;Secretaria Geral da Marinha;NA;Marinha do Brasil;416;3197
Marinha do Brasil;"Relações Internacionais; Diretoria de Hidrografia e Navegação";NA;Marinha do Brasil;416;3199
Marinha do Brasil;"Diretoria de Hidrografia e Navegação; Assessoria Internacional";NA;Marinha do Brasil;416;3201
Marinha do Brasil;Estado Maior da Armada;NA;Marinha do Brasil;416;3209
Marinha do Brasil;SECIRM;NA;Marinha do Brasil;416;3210
Marinha do Brasil;Adido Naval do Brasil na China;NA;Marinha do Brasil;416;3224
Marinha do Brasil;"Diretoria de Portos e Costas; CCA-IMO";NA;Marinha do Brasil;416;3233
Marinha do Brasil;Diretoria de Portos e Costas;NA;Marinha do Brasil;416;3235
Marinha do Brasil;"Diretoria de Portos e Costas; CCA-IMO; MEPC";NA;Marinha do Brasil;416;3237
Marinha do Brasil;CCA-IMO;NA;Marinha do Brasil;416;3238
Ministério da Agricultura, Pecuária e Abastecimento;Secretaria de Defesa Agropecuária;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;2998
Ministério da Agricultura, Pecuária e Abastecimento;NA;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3009
Ministério da Agricultura, Pecuária e Abastecimento;Secretaria de Relações Internacionais do Agronegócio;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3068
Ministério da Agricultura, Pecuária e Abastecimento;Imprensa;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3070
Ministério da Agricultura, Pecuária e Abastecimento;Comunicações;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3071
Ministério da Agricultura, Pecuária e Abastecimento;"Coordenação Geral de Qualidade; Departamento de Desenvolvimento das Cadeias Produtivas e Produção Sustentável";NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3083
Ministério da Agricultura, Pecuária e Abastecimento;Coordenação geral de qualidade;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3130
Ministério da Agricultura, Pecuária e Abastecimento;Departamento de sistemas de produção e sustentabilidade;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3131
Ministério da Agricultura, Pecuária e Abastecimento;Coordenação geral de negociação de medidas não tarifárias;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3132
Ministério da Agricultura, Pecuária e Abastecimento;"Departamento de Sanidade Vegetal; Coordenação de Proteção de Plantas";NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3165
Ministério da Agricultura, Pecuária e Abastecimento;Diretoria de Defesa Vegetal;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3166
Ministério da Agricultura, Pecuária e Abastecimento;Secretaria de Proteção Animal e Vegetal;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3167
Ministério da Agricultura, Pecuária e Abastecimento;"Relações Internacionais; Coordenação de Assuntos da CIPV";NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3168
Ministério da Agricultura, Pecuária e Abastecimento;Departamento de Sanidade Vegetal;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3169
Ministério da Agricultura, Pecuária e Abastecimento;"Secretaria de Defesa Agropecuária; Departamento de Negociações Sanitárias e Fitossanitárias; Coordenação de Assuntos Fitossanitários Internacionais";NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3170
Ministério da Agricultura, Pecuária e Abastecimento;"Secretaria de Saúde e Inspeção Animal e Vegetal; Diretoria de Sanidade Vegetal";NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3171
Ministério da Agricultura, Pecuária e Abastecimento;"Secretaria de Defesa Agropecuária; Coordenação de Vigilância Internacional de Agropecuária";NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3172
Ministério da Agricultura, Pecuária e Abastecimento;"Secretaria de Defesa Agropecuária; Departamento de Sanidade Vegetal; Divisão de Análise de Riscos de Pragas";NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3173
Ministério da Agricultura, Pecuária e Abastecimento;"Serviço de Campanhas e Programas Fitossanitárias; Departamento de Sanidade Vegetal; Secretaria de Defesa Agropecuária";NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3174
Ministério da Agricultura, Pecuária e Abastecimento;"Programa de Erradicação da Mosca da Carambola; Departamento de Sanidade Vegetal; Secretaria de Defesa Agropecuária";NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3175
Ministério da Agricultura, Pecuária e Abastecimento;"Divisão de Certificação Fitossanitária; Departamento de Sanidade Vegetal; Secretaria de Defesa Agropecuária";NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3176
Ministério da Agricultura, Pecuária e Abastecimento;Coordenação de Assuntos Internacionais Fitossanitários;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3177
Ministério da Agricultura, Pecuária e Abastecimento;Divisão de Análise de Riscos de Pragas;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3178
Ministério da Agricultura, Pecuária e Abastecimento;Divisão de Certificação Fitossanitária;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3179
Ministério da Agricultura, Pecuária e Abastecimento;"Departamento de Sanidade Vegetal; Ponto de contato oficial IPPC";NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3180
Ministério da Agricultura, Pecuária e Abastecimento;Departamento de Negociações Não-Tarifárias;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3181
Ministério da Agricultura, Pecuária e Abastecimento;Coordenadoria de Quarentena Vegetal;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3182
Ministério da Agricultura, Pecuária e Abastecimento;Departamento de Sanidade Vegetal e Insumos Agrícolas;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3183
Ministério da Agricultura, Pecuária e Abastecimento;Comitê em Saúde Vegetal (COSAVE);NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3184
Ministério da Agricultura, Pecuária e Abastecimento;Coordenadoria de Supervisão e Certificação de Trânsito Internacional;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3185
Ministério da Agricultura, Pecuária e Abastecimento;Permanent Representation of Brazil to FAO;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3186
Ministério da Agricultura, Pecuária e Abastecimento;Organização Brasileira de Proteção Vegetal;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3187
Ministério da Agricultura, Pecuária e Abastecimento;Coordenação Geral de Inspeção e Certificação Fitossanitária Internacional;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3188
Ministério da Agricultura, Pecuária e Abastecimento;Divisão de Inspeção e Tratamento de Quarentenas;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3189
Ministério da Agricultura, Pecuária e Abastecimento;Divisão de Quarentena Vegetal;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3190
Ministério da Agricultura, Pecuária e Abastecimento;Coordenação Geral de Defesa Vegetal;NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3191
Ministério da Agricultura, Pecuária e Abastecimento;"Serviço Florestal Brasileiro; Diretoria de Pesquisa e Informação Florestal";NA;Ministério da Agricultura, Pecuária e Abastecimento;421;3222
Ministério da Ciência e Tecnologia;NA;NA;Ministério da Ciência e Tecnologia;422;2987
Ministério da Ciência e Tecnologia;"Coordenadoria Geral de Biodiversidade; Secretaria de Políticas e Programas de Pesquisa e Desenvolvimento";NA;Ministério da Ciência e Tecnologia;422;2993
Ministério da Ciência e Tecnologia;"Coordenadoria Geral de Biotecnologia e Saúde; Secretaria de Políticas Estratégicas e de Desenvolvimento Científico";NA;Ministério da Ciência e Tecnologia;422;2994
Ministério da Ciência, Tecnologia e Inovação;NA;NA;Ministério da Ciência e Tecnologia;422;3055
Ministério da Ciência, Tecnologia, Inovação e Comunicações;Biossegurança;NA;Ministério da Ciência e Tecnologia;422;3129
Ministério da Ciência e Tecnologia;"Departamento de Política Científica e Programas Especiais; Secretaria de Políticas e Programas";NA;Ministério da Ciência e Tecnologia;422;3198
Ministério da Ciência e Tecnologia;Secretaria de Políticas e Programas;NA;Ministério da Ciência e Tecnologia;422;2867
Ministério da Ciência e Tecnologia;Secretaria de Políticas e Programas de Pesquisa e Desenvolvimento;NA;Ministério da Ciência e Tecnologia;422;3202
Ministério da Ciência e Tecnologia;"Secretaria de Políticas e Programas de Pesquisa e Desenvolvimento; Coordenadoria para Mar e Antártica";NA;Ministério da Ciência e Tecnologia;422;3203
Ministério da Ciência e Tecnologia;Cooperação Internacional;NA;Ministério da Ciência e Tecnologia;422;3205
Ministério da Ciência e Tecnologia;Coordenação de Oceano e Antártica;NA;Ministério da Ciência e Tecnologia;422;3207
Ministério da Ciência, Tecnologia e Inovação;Cooperação Internacional;NA;Ministério da Ciência e Tecnologia;422;3208
Ministério da Ciência, Tecnologia, Inovação e Comunicações;Pesquisa;NA;Ministério da Ciência e Tecnologia;422;3211
Ministério da Ciência, Tecnologia e Inovação;"Secretaria de Políticas e Programas de Pesquisa e Desenvolvimento; Coordenadoria para Mar e Antártica";NA;Ministério da Ciência e Tecnologia;422;3212
Ministério da Defesa;NA;NA;Ministério da Defesa;424;3007
Ministério da Fazenda;NA;NA;Ministério da Fazenda;427;3135
Ministério da Saúde;NA;NA;Ministério da Saúde;432;2747
Ministry of External Relations;Embassy of Brazil in Nairobi;NA;Ministério das Relações Exteriores;435;61
Ministry of External Relations;NA;NA;Ministério das Relações Exteriores;435;89
Ministry of External Relations;Environment Division;NA;Ministério das Relações Exteriores;435;120
Ministry of Foreign Affairs;Permanent Mission of Brazil to the United Nations in New York;NA;Ministério das Relações Exteriores;435;175
Ministry of External Relations;Permanent Representation of Brazil to FAO;NA;Ministério das Relações Exteriores;435;304
Ministério das Relações Exteriores;Divisão de Meio Ambiente;NA;Ministério das Relações Exteriores;435;1271
Ministério das Relações Exteriores;Embaixada do Brasil em Buenos Aires;NA;Ministério das Relações Exteriores;435;2972
Ministério das Relações Exteriores;Departamento de Temas Especiais;NA;Ministério das Relações Exteriores;435;2973
Ministério das Relações Exteriores;Divisão do Meio Ambiente;NA;Ministério das Relações Exteriores;435;2975
Ministério das Relações Exteriores;Embaixada do Brasil em Viena;NA;Ministério das Relações Exteriores;435;2983
Ministério das Relações Exteriores;NA;NA;Ministério das Relações Exteriores;435;2739
Ministério das Relações Exteriores;Consulado do Brasil em Nagóia;NA;Ministério das Relações Exteriores;435;3002
Ministério das Relações Exteriores;Embaixada do Brasil em Berlim;NA;Ministério das Relações Exteriores;435;3003
Ministério das Relações Exteriores;Embaixada do Brasil em Tóquio;NA;Ministério das Relações Exteriores;435;3004
Ministério das Relações Exteriores;Departamento de Meio Ambiente e Temas Especiais;NA;Ministério das Relações Exteriores;435;2864
Ministério das Relações Exteriores;Subsecretaria-Geral de Meio Ambiente, Energia, Ciência e Tecnologia;NA;Ministério das Relações Exteriores;435;3051
Ministério das Relações Exteriores;Divisão de Clima;NA;Ministério das Relações Exteriores;435;3052
Ministério das Relações Exteriores;Embaixada do Brasil em Nova Delhi;NA;Ministério das Relações Exteriores;435;3053
Ministério das Relações Exteriores;Embaixada do Brasil em Seul;NA;Ministério das Relações Exteriores;435;3056
Ministério das Relações Exteriores;Delegação Permanente à Convenção de Diversidade Biológica;NA;Ministério das Relações Exteriores;435;3064
Ministério das Relações Exteriores;Embaixada do Brasil no México;NA;Ministério das Relações Exteriores;435;2842
Ministério das Relações Exteriores;Departamento de Desenvolvimento Sustentável;NA;Ministério das Relações Exteriores;435;3093
Ministério das Relações Exteriores;Gabinete;NA;Ministério das Relações Exteriores;435;3122
Ministry of External Relations;Division of Environment;NA;Ministério das Relações Exteriores;435;3159
Ministry of External Relations;Permanent Mission of Brazil to the United Nations in New York;NA;Ministério das Relações Exteriores;435;3192
Ministério das Relações Exteriores;Missão Permanente do Brasil à UNESCO;NA;Ministério das Relações Exteriores;435;3196
Ministério das Relações Exteriores;Agência Brasileira de Cooperação;NA;Ministério das Relações Exteriores;435;3213
Ministério de Relações Exteriores;NA;NA;Ministério das Relações Exteriores;435;3214
Ministério das Relações Exteriores;Embaixada do Brasil em Libreville;NA;Ministério das Relações Exteriores;435;3216
Ministério das Relações Exteriores;Embaixada do Brasil em Kuala Lumpur;NA;Ministério das Relações Exteriores;435;3219
Ministério das Relações Exteriores;Embaixada do Brasil em Lima;NA;Ministério das Relações Exteriores;435;3221
Ministério das Relações Exteriores;"Embaixada Brasileira em Londres; Conselheiro para Assuntos Marítimos; Representação Permanente do Brasil na IMO";NA;Ministério das Relações Exteriores;435;3225
Ministério de Relações Exteriores;Gabinete do Ministro;NA;Ministério das Relações Exteriores;435;3229
Ministério das Relações Exteriores;Missão Permanente do Brasil junto a Organizações Internacionais em Londres;NA;Ministério das Relações Exteriores;435;3234
Ministério das Relações Exteriores;"Missão Permanente do Brasil junto a Organizações Internacionais em Londres; Representação Permanente do Brasil na IMO";NA;Ministério das Relações Exteriores;435;3236
Ministério do Desenvolvimento Agrário;NA;NA;Ministério do Desenvolvimento Agrário;437;3010
Ministério do Desenvolvimento Social e Agrário;Secretaria Nacional de Segurança Alimentar e Nutricional;NA;Ministério do Desenvolvimento Social e Combate à Fome;438;3075
Ministério do Desenvolvimento Social e Agrário;NA;NA;Ministério do Desenvolvimento Social e Combate à Fome;438;3088
Ministério do Desenvolvimento Social e Agrário;"Secretaria Especial de Agricultura Familiar e Desenvolvimento Agrário; Assessoria de Assuntos Internacionais e Promoção Comercial";NA;Ministério do Desenvolvimento Social e Combate à Fome;438;3091
Ministério do Desenvolvimento Social e Agrário;Secretaria Especial de Agricultura Familiar e Desenvolvimento Agrário;NA;Ministério do Desenvolvimento Social e Combate à Fome;438;3092
Ministério do Desenvolvimento Indústria e Comércio Exterior;NA;NA;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;3005
Ministério do Meio Ambiente;NA;NA;Ministério do Meio Ambiente;442;252
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;NA;NA;Ministério do Meio Ambiente;442;2971
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;Assessoria Especial para Assuntos Internacionais;NA;Ministério do Meio Ambiente;442;2974
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;Coordenação de Assuntos do Meio Ambiente;NA;Ministério do Meio Ambiente;442;2976
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;Coordenadoria-Geral de Diversidade Biológica;NA;Ministério do Meio Ambiente;442;2977
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;Programa Nacional de Diversidade Biológica;NA;Ministério do Meio Ambiente;442;2984
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;Secretaria de Desenvolvimento Integrado;NA;Ministério do Meio Ambiente;442;2985
Ministério do Meio Ambiente;Secretaria de Biodiversidade e Florestas;NA;Ministério do Meio Ambiente;442;2869
Ministério do Meio Ambiente;Assessoria para Assuntos Internacionais;NA;Ministério do Meio Ambiente;442;2865
Ministério do Meio Ambiente;Programa Nacional de Conservação da Biodiversidade;NA;Ministério do Meio Ambiente;442;2989
Ministério do Meio Ambiente;Programa Nacional de Áreas Protegidas;NA;Ministério do Meio Ambiente;442;2990
Ministério do Meio Ambiente;Departamento de Recursos Genéticos;NA;Ministério do Meio Ambiente;442;2991
Ministério do Meio Ambiente;"Projeto de Conservação da Biodiversidade; Diretoria de Biodiversidade";NA;Ministério do Meio Ambiente;442;2995
Ministério do Meio Ambiente;Projeto de Recursos Genéticos;NA;Ministério do Meio Ambiente;442;2996
Ministério do Meio Ambiente;Diretoria de Áreas Protegidas;NA;Ministério do Meio Ambiente;442;2997
Ministério do Meio Ambiente;Fundo Brasileiro para a Biodiversidade (FUNBIO);NA;Ministério do Meio Ambiente;442;2999
Ministério do Meio Ambiente;Fundação Vitória Amazônica;NA;Ministério do Meio Ambiente;442;3000
Ministério do Meio Ambiente;Assessoria de Assuntos Internacionais;NA;Ministério do Meio Ambiente;442;3057
Ministério do Meio Ambiente;Secretaria de Extrativismo e Desenvolvimento Rural Sustentável;NA;Ministério do Meio Ambiente;442;3066
Ministério do Meio Ambiente;Secretaria de Articulação Institucional e Cidadania Ambiental;NA;Ministério do Meio Ambiente;442;3067
Ministério do Meio Ambiente;Diretoria de Florestas;NA;Ministério do Meio Ambiente;442;2882
Ministério do Meio Ambiente;Diretoria de Conservação da Biodiversidade;NA;Ministério do Meio Ambiente;442;3072
Ministério do Meio Ambiente;Diretoria de Patrimônio Genético;NA;Ministério do Meio Ambiente;442;3073
Ministério do Meio Ambiente;"Diretoria de Desenvolvimento Rural e Combate à Desertificação; Secretaria de Desenvolvimento Rural Sustentável e Combate à Desertificação";NA;Ministério do Meio Ambiente;442;3074
Ministério do Meio Ambiente;Coordenação Geral de Patrimônio Genético;NA;Ministério do Meio Ambiente;442;3082
Ministério do Meio Ambiente;Projeto de Biodiversidade para Alimentação e Agricultura;NA;Ministério do Meio Ambiente;442;3085
Ministério do Meio Ambiente;Assessoria de Comunicações;NA;Ministério do Meio Ambiente;442;3086
Ministério do Meio Ambiente;"Assessoria de Comunicações; Relações públicas";NA;Ministério do Meio Ambiente;442;3089
Ministério do Meio Ambiente;Serviço Florestal Brasileiro;NA;Ministério do Meio Ambiente;442;3099
Ministério do Meio Ambiente;Programas;NA;Ministério do Meio Ambiente;442;3100
Ministério do Meio Ambiente;Departamento de Conservação e Manejo de Espécies;NA;Ministério do Meio Ambiente;442;3123
Ministério do Meio Ambiente;Departamento de Patrimônio Genético;NA;Ministério do Meio Ambiente;442;3124
Ministério do Meio Ambiente;Departamento de Apoio ao Conselho do Patrimônio Genético;NA;Ministério do Meio Ambiente;442;3125
Ministério do Meio Ambiente;Departamento de Conservação de Ecossistemas;NA;Ministério do Meio Ambiente;442;3126
Ministério do Meio Ambiente;Conselho Nacional de Patrimônio Genético;NA;Ministério do Meio Ambiente;442;3127
Ministério do Meio Ambiente;Assessoria de Imprensa;NA;Ministério do Meio Ambiente;442;3128
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;Coordenação geral de Diversidade Biológica;NA;Ministério do Meio Ambiente;442;3160
Ministério do Meio Ambiente;Programa de Diversidade Biológica;NA;Ministério do Meio Ambiente;442;3161
Ministério do Meio Ambiente;Gerência de Recursos Genéticos;NA;Ministério do Meio Ambiente;442;3164
Ministério do Meio Ambiente;"Secretaria de Qualidade Ambiental nos Assentamentos Humanos; Programa de Gerenciamento Ambiental Territorial";NA;Ministério do Meio Ambiente;442;3204
Ministério do Meio Ambiente;"Secretaria de Qualidade Ambiental nos Assentamentos Humanos; Geografia, Gerenciamento Costeiro e Marinho";NA;Ministério do Meio Ambiente;442;3206
Ministério do Meio Ambiente;Secretaria de Qualidade Ambiental e Mudança Climática;NA;Ministério do Meio Ambiente;442;3218
Ministério do Meio Ambiente;Gestão Integrada Marítima e Costeira;NA;Ministério do Meio Ambiente;442;3231
Ministério do Meio Ambiente;Programa de Gerenciamento Ambiental Territorial;NA;Ministério do Meio Ambiente;442;3232
Ministério dos Transportes;NA;NA;Ministério dos Transportes;447;3226
Ministério Público;São Paulo;NA;Ministério Público;449;3138
Cidade de Curitiba;NA;NA;Município de Curitiba;466;3016
Cidade de Manaus;NA;NA;Município de Manaus;476;3017
City Hall of São Paulo;NA;NA;Município de São Paulo;489;794
Natura;Inovação e Tecnologia de Produtos;NA;Natura;496;3110
Painel Brasileiro de Mudanças Climáticas;NA;NA;PBMC - Painel Brasileiro de Mudanças Climáticas;513;2227
