org_limpo;id_org_unica;tipo_org;tipo_org_reduzido
1ª Igreja Batista de João Pessoa;1;Igrejas e entidades religiosas;Outro
ABCE - Associação Brasileira de Companhias de Energia Elétrica;2;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ABDI - Agência Brasileira de Desenvolvimento Industrial;3;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ABEMA - Associação Brasileira de Entidades Estaduais de Meio Ambiente;4;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
ABEMC - Associação Brasileira das Empresas do Mercado de Carbono;5;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ABGLT - Associação Brasileira de Gays, Lésbicas, Bissexuais, Travestis, Transexuais e Intersexos;6;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
ABIEC - Associação Brasileira das Indústrias Exportadoras de Carnes;7;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ABIN - Agência Brasileira de Inteligência;8;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ABINEE - Associação Brasileira da Indústria Elétrica e Eletrônica;9;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ABIOVE - Associação Brasileira das Indústrias de Óleos Vegetais;10;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ABIQUIM - Associação Brasileira da Indústria Química;11;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ABM - Associação Brasileira de Municípios;12;Associações de órgãos ou entes públicos;Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
ABONG - Associação Brasileira de Organizações Não-Governamentais;13;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
ABPMEX - Associação Brasileira de Produtores e Exportadores de Madeiras;14;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ABRACE - Associação Brasileira de Grandes Consumidores Industriais de Energia;15;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ABRAF - Associação Brasileira dos Produtores de Florestas Plantadas;16;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
ABREA - Associação Brasileira dos Expostos ao Amianto;17;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Academia Brasileira de Ciências;18;Universidades, institutos de educação, escolas e sociedades científicas;Órgãos de ensino e pesquisa
